id_kota;nama;sandi
1;Lainnya Tidak terdefinisi;0
2;Provinsi Jawa Barat;100
3;Kab. Bekasi ;102
4;Kab. Purwakarta ;103
5;Kab. Karawang;106
6;Kab. Bogor ;108
7;Kab. Sukabumi ;109
8;Kab. Cianjur ;110
9;Kab. Bandung ;111
10;Kab. Sumedang;112
11;Kab. Tasikmalaya;113
12;Kab. Garut ;114
13;Kab. Ciamis ;115
14;Kab. Cirebon ;116
15;Kab. Kuningan ;117
16;Kab. Indramayu ;118
17;Kab. Majalengka ;119
18;Kab. Subang ;121
19;Kab. Bandung Barat;122
20;Kab. Pangandaran;123
21;Kota Banjar;180
22;Kota Bandung ;191
23;Kota Bogor ;192
24;Kota Sukabumi ;193
25;Kota Cirebon ;194
26;Kota Tasikmalaya ;195
27;Kota Cimahi ;196
28;Kota Depok ;197
29;Kota Bekasi ;198
30;Provinsi Banten;200
31;Kab. Lebak ;201
32;Kab. Pandeglang ;202
33;Kab. Serang   ;203
34;Kab. Tangerang ;204
35;Kota Cilegon;291
36;Kota Tangerang ;292
37;Kota Serang;293
38;Kota Tangerang Selatan;294
39;Provinsi DKI Jakarta Raya;300
40;Wil. Kota Jakarta Pusat ;391
41;Wil. Kota Jakarta Utara ;392
42;Wil. Kota Jakarta Barat ;393
43;Wil. Kota Jakarta Selatan;394
44;Wil. Kota Jakarta Timur ;395
45;Wil. Kab. Administrasi Kepulauan Seribu;396
46;Daerah Istimewa Yogyakarta;500
47;Kab. Bantul;501
48;Kab. Sleman ;502
49;Kab. Gunung Kidul ;503
50;Kab. Kulon Progo ;504
51;Kota Yogyakarta;591
52;Provinsi Jawa Tengah;900
53;Kab. Semarang;901
54;Kab. Kendal ;902
55;Kab. Demak ;903
56;Kab. Grobogan ;904
57;Kab. Pekalongan ;905
58;Kab. Tegal ;906
59;Kab. Brebes ;907
60;Kab. Pati ;908
61;Kab. Kudus ;909
62;Kab. Pemalang ;910
63;Kab. Jepara ;911
64;Kab. Rembang ;912
65;Kab. Blora ;913
66;Kab. Banyumas ;914
67;Kab. Cilacap ;915
68;Kab. Purbalingga ;916
69;Kab. Banjarnegara ;917
70;Kab. Magelang ;918
71;Kab. Temanggung ;919
72;Kab. Wonosobo ;920
73;Kab. Purworejo ;921
74;Kab. Kebumen ;922
75;Kab. Klaten ;923
76;Kab. Boyolali ;924
77;Kab. Sragen ;925
78;Kab. Sukoharjo ;926
79;Kab. Karanganyar ;927
80;Kab. Wonogiri ;928
81;Kab. Batang ;929
82;Kota Semarang ;991
83;Kota Salatiga ;992
84;Kota Pekalongan ;993
85;Kota Tegal ;994
86;Kota Magelang ;995
87;Kota Surakarta/Solo ;996
88;Provinsi Jawa Timur;1200
89;Kab. Gresik;1201
90;Kab. Sidoarjo ;1202
91;Kab. Mojokerto ;1203
92;Kab. Jombang ;1204
